score	df.info.line	df.info.class
group25.day28.R32.Ral_229_5	-0.500788771523822	229	line
group25.day28.R32.Ral_229_6	0.639227496838103	229	line
group25.day28.R32.Ral_229_7	-0.0828538437696767	229	line
group25.day28.R32.Ral_229_8	0.845431111055835	229	line
group25.day28.R32.Ral_229_9	1.99434598408556	229	line
group11.day28.R32.Ral_235_1	2.41931897945468	235	line
group11.day28.R32.Ral_235_10	2.72573794246575	235	line
group11.day28.R32.Ral_235_2	2.76000013081014	235	line
group11.day28.R32.Ral_235_3	4.96455572744504	235	line
group11.day28.R32.Ral_235_4	1.23664797485674	235	line
group11.day28.R32.Ral_235_5	3.24947956505422	235	line
